Transaction Number,Fuel Quantity,Gross Price,Full Address,Date & Time,Fuel Type,Site Name,Site ID,VIN,Vehicle ID
17231,4.73095,2.86,"43231 OH,  Columbus, 2332 MountainCrest Ave, ",2024-10-02 06:57:19,gas,Bucky's,vxxwx,QRYOH2KR21P9A8OCZ,63763271
17240,53.604,2.80,"43224 OH,  Columbus, 435 Elon St, ",2024-10-02 04:54:47,propane,Marathon,eefgg,PBJXIBQVKM3X3XOHL,51113812
17242,29.488,3.07,"43202 OH,  Columbus, 972 Alabatross Court, ",2024-10-02 06:45:53,diesel,Bucky's,bwwww,JBGZ1PN7JIIIRCCUO,77317226
17259,9.98978,2.84,"43279 OH,  Columbus, 3399 10-Mile Parkwy, ",2024-10-02 06:18:34,lng,Marathon,geggg,WHD7X5O7M9WWSVFQ1,16111111
17266,38.291,2.91,"43203 OH,  Columbus, 8216 Coyote Road, ",2024-10-02 09:27:40,propane,WalMart,hgdjg,KCHF8SOFFMJYYGGV8,81113411
17268,51.4085,3.26,"43220 OH,  Columbus, 7821 WindingWay pkwy, ",2024-10-02 06:43:02,propane,Sunoco,18200,QL91E48KV2HTCIVDP,11158738
17271,21.25,2.44,"43236 OH,  Columbus, 2496 Kellogg pkwy, ",2024-10-02 11:16:36,lng,Bucky's,awwwy,A7BU68AV6C8HRBMNS,71215734
17277,33.99338,3.82,"43251 OH,  Columbus, 9192 Beech Court, ",2024-10-02 08:09:08,liquified natural gas,Love's,ebcjc,FMPFVWXMDEUOCMDTS,11111115
17317,40.9,3.96,"43251 OH,  Columbus, 9192 Beech Court, ",2024-10-02 09:45:46,methanol,Love's,ebcjc,4Z7VC1TX83IRC9LG3,21551611
17324,20.16616,3.23,"43201 OH,  Columbus, 1082 Brandonmere Str, ",2024-10-02 03:39:34,LNG,Bucky's,sxwyx,BL47VO29JHSKTFO4G,26161118
17330,26.9501,3.76,"43231 OH,  Columbus, 2332 MountainCrest Ave, ",2024-10-02 05:02:54,gas,Bucky's,vxxwx,50LGLMZCH8ZOQWQGN,62813231
17350,13.7227,3.57,"43236 OH,  Columbus, 2496 Kellogg pkwy, ",2024-10-02 04:37:24,liquefied natural gas,Bucky's,awwwy,D41IZSN7WAAUO3LMR,18131172
17351,23.429,2.13,"43229 OH,  Columbus, 4686 Dutch Elm Court, ",2024-10-02 07:41:31,lng,Marathon,egfeg,V6KGV8XUHE1N2FSKB,83681654
17353,16.06838,3.97,"43221 OH,  Columbus, 2555 Miller Lane, ",2024-10-02 09:58:33,kerosene,Flying J,84448,WHD7X5O7M9WWSVFQ1,16111111
17357,30.25704,3.99,"43221 OH,  Columbus, 2130 Forest Creek St, ",2024-10-02 03:41:15,diesel,Love's,hbcde,5S1QUMOG1RUA1CUSG,11151111
17363,52.24141,3.84,"43209 OH,  Columbus, 1998 Royal Oak Lane, ",2024-10-02 05:50:13,LNG,Sunoco,42010,GPA83MA84IA3O9K44,41111638
17399,7.07334,3.52,"43201 OH,  Columbus, 233 Clifton Lane, ",2024-10-02 04:18:38,gas,Love's,bbccp,TXCOEH8CJYYHQHP0A,88281111
17400,9.9145,3.34,"43236 OH,  Columbus, 2496 Kellogg pkwy, ",2024-10-02 10:37:59,liquefied natural gas,Bucky's,awwwy,UI46YMADA2FJEDJRJ,11114511
17413,52.183,3.73,"43211 OH,  Columbus, 8133 Lindenwood Parkway, ",2024-10-02 06:55:46,liquified natural gas,Marathon,eeege,WYJ9PNU94Z96352LX,64868128
17427,43.16764,3.21,"43234 OH,  Columbus, 4572 Forest Crest Lane, ",2024-10-02 06:55:22,kerosene,Flying J,17348,D41IZSN7WAAUO3LMR,18131172
17432,12.078,1.95,"43279 OH,  Columbus, 5478 Royal Oak Road, ",2024-10-02 12:35:45,liquid natural gas,WalMart,dddlg,YDPMOD6XSSF7TP01D,62316571
17454,50.7014,3.53,"43205 OH,  Columbus, 3603 Forest Creek pkwy, ",2024-10-02 08:41:05,gas,Bucky's,bwxww,Y93FQFPRMH4Y2C1AX,18141115
17462,29.674,3.35,"43279 OH,  Columbus, 1629 Spring Grove St, ",2024-10-02 11:21:48,gas,Sunoco,62011,TOVS66LE77R08BZZQ,31873474
17479,30.55,2.18,"43232 OH,  Columbus, 7343 Pretzel Str, ",2024-10-02 04:25:13,biodiesel,WalMart,dldde,KWGIU2NT6KVUOR1A2,87114365
17485,48.33,1.94,"43218 OH,  Columbus, 6899 Royal Oak pkwy, ",2024-10-02 07:40:27,lng,Bucky's,awwyw,631LFW45TAUQX611H,11253164
17519,31.512,3.72,"43214 OH,  Columbus, 7393 Kellogg Ave, ",2024-10-02 12:11:05,liquid natural gas,Marathon,ffeee,XX2MK53AHHVTG35NL,67867161
17543,3.94,3.86,"43226 OH,  Columbus, 398 Cougar Avenue, ",2024-10-02 08:26:55,gas,Bucky's,wywxx,2NBZ4H9ILL004RFB6,17416181
17553,50.524,2.54,"43226 OH,  Columbus, 7568 Sunrise Str, ",2024-10-02 11:57:43,diesel,Flying J,22345,XJKSIYXM3MLIFEQPA,51711351
17566,51.901,2.03,"43251 OH,  Columbus, 3099 Daylight Street, ",2024-10-02 08:55:14,liquified natural gas,Love's,kccpf,3B0VQ7BUOGYCII2TP,85111111
17571,15.89266,2.79,"43220 OH,  Columbus, 7821 WindingWay pkwy, ",2024-10-02 05:23:30,ethanol,Sunoco,18200,8W81QE38JUYCHH1IQ,41583667
17579,5.81,2.09,"43226 OH,  Columbus, 7568 Sunrise Str, ",2024-10-02 11:24:04,liquefied natural gas,Flying J,22345,O8HGON2DQRZKTXUTB,41711143
17594,38.078,2.01,"43231 OH,  Columbus, 2332 MountainCrest Ave, ",2024-10-02 09:27:52,LNG,Bucky's,vxxwx,74QDNDQO6G326JQZK,61211118
17609,28.4754,2.44,"43205 OH,  Columbus, 3603 Forest Creek pkwy, ",2024-10-02 12:26:30,gas,Bucky's,bwxww,7OAMRJRM3VNH1J9BH,56787561
17643,10.845,3.50,"43251 OH,  Columbus, 9192 Beech Court, ",2024-10-02 06:32:13,ethanol,Love's,ebcjc,JBGZ1PN7JIIIRCCUO,77317226
17660,29.454,3.68,"43214 OH,  Columbus, 7241 Miller Road, ",2024-10-02 09:45:19,LNG,Speedway,vaia,A2AR0U433D1FJ663J,86138116
17661,42.14,3.47,"43214 OH,  Columbus, 7241 Miller Road, ",2024-10-02 06:50:18,liquid natural gas,Speedway,vaia,GYITREB0Y588SU4OJ,11111141
17676,10.9856,2.08,"43212 OH,  Columbus, 2878 Daylight Road, ",2024-10-02 03:44:26,ethanol,Bucky's,awwyw,RBYWK1ZSL12OXEJ5L,15311811
17711,18.968,2.29,"43201 OH,  Columbus, 233 Clifton Lane, ",2024-10-02 11:49:05,propane,Love's,bbccp,QYGJB1H2OBAK8RUIR,11131111
17722,48.423,3.48,"43221 OH,  Columbus, 3195 Fox Str, ",2024-10-02 03:03:27,lng,WalMart,ddkdd,RJBKRPXAT20WFH61E,61811161
17730,9.924,2.08,"43291 OH,  Columbus, 6335 Summit Parkway, ",2024-10-02 05:19:24,propane,Marathon,eegfe,SERKDJS7TMWD5RXAN,24134814
17742,22.311,3.93,"43224 OH,  Columbus, 6656 Elm Parkway, ",2024-10-02 06:42:52,liquified natural gas,Speedway,anyx,XRYFX4SMJWFHQ3773,62111444
17807,24.31175,3.69,"43279 OH,  Columbus, 3399 10-Mile Parkwy, ",2024-10-02 08:18:11,diesel,Marathon,geggg,X5SSUJDNCI4YQ3MB6,37881123
17810,35.3824,2.84,"43211 OH,  Columbus, 4992 Lincoln Avenue, ",2024-10-02 09:13:46,liquefied natural gas,Marathon,egfge,WGQWLUH5GLLJ5YQPO,34211138
17840,41.50654,3.50,"43206 OH,  Columbus, 5116 Beech Ave, ",2024-10-02 08:54:06,ethanol,Sunoco,36001,L33QX2VDKG77WLFGS,36163181
17853,36.8944,1.98,"43279 OH,  Columbus, 5478 Royal Oak Road, ",2024-10-02 09:54:05,LNG,WalMart,dddlg,9SJXC3ZY26QKCDESF,12715111
17897,29.695,3.33,"43291 OH,  Columbus, 6335 Summit Parkway, ",2024-10-02 05:25:30,biodiesel,Marathon,eegfe,4FVUWDYK474DKWGJB,77135551
17900,38.58,2.85,"43231 OH,  Columbus, 2332 MountainCrest Ave, ",2024-10-02 11:23:56,liquefied natural gas,Bucky's,vxxwx,TJLSAQNL0GG8DCMTY,56131221
17910,46.77216,3.26,"43205 OH,  Columbus, 3603 Forest Creek pkwy, ",2024-10-02 05:06:50,LNG,Bucky's,bwxww,WKUIXJD376KEZUGEL,11118111
17985,18.15,3.45,"43232 OH,  Columbus, 7343 Pretzel Str, ",2024-10-02 10:16:29,gas,WalMart,dldde,OLHOY299YSWVXI0HU,51111111
18008,26.46025,1.90,"43224 OH,  Columbus, 6656 Elm Parkway, ",2024-10-02 12:37:54,LNG,Speedway,anyx,Z8586TLBS3V9PX6T2,47733126
18029,19.4339,3.02,"43221 OH,  Columbus, 2130 Forest Creek St, ",2024-10-02 12:27:00,biodiesel,Love's,hbcde,2XCWG5PPBEDWXFY9M,16131111
18052,23.349,3.03,"43235 OH,  Columbus, 2208 Wayfair Parkway, ",2024-10-02 06:58:45,gas,Speedway,laea,T8CL7OVREV8LDODQO,72131665
18060,43.217,3.18,"43202 OH,  Columbus, 1632 Forest Crest Lane, ",2024-10-02 09:23:12,LNG,Love's,gcccc,Z27XGQWS9N03FQY4Q,51148621
18069,23.718,3.35,"43279 OH,  Columbus, 5478 Royal Oak Road, ",2024-10-02 11:47:24,gas,WalMart,dddlg,MRWKICQCDN4E45X79,14111651
18097,32.27,2.77,"43240 OH,  Columbus, 2821 Kellogg Str, ",2024-10-02 07:41:21,kerosene,Bucky's,swwyx,58ARGBT9104F70QRJ,11811752
18103,22.45578,3.64,"43209 OH,  Columbus, 3397 10-Mile Avenue, ",2024-10-02 11:36:30,liquefied natural gas,Marathon,efgee,MPAU4XTM3DA8SHZQO,82111512
18106,5.03,2.24,"43231 OH,  Columbus, 2332 MountainCrest Ave, ",2024-10-02 08:29:10,liquified natural gas,Bucky's,vxxwx,PZNDCXILETQK12PXM,18522211
18131,10.77,3.07,"43231 OH,  Columbus, 2332 MountainCrest Ave, ",2024-10-02 08:25:34,liquified natural gas,Bucky's,vxxwx,OQH8NWV49CKI6BF35,51111111
18141,31.39911,4.03,"43203 OH,  Columbus, 6939 Spring Grove Court, ",2024-10-02 07:47:22,lng,Sunoco,12600,QYA4BCFSRHOAY60LQ,11111118
18148,22.8126,3.37,"43232 OH,  Columbus, 7343 Pretzel Str, ",2024-10-02 12:35:09,lng,WalMart,dldde,4I3GVZDON7587WJ6X,71315562
18151,19.007,2.50,"43265 OH,  Columbus, 3232 Sunrise pkwy, ",2024-10-02 07:15:00,biodiesel,Sunoco,12010,OT2WGZBQPV6N7VD31,11137811
18158,39.00125,2.63,"43202 OH,  Columbus, 1632 Forest Crest Lane, ",2024-10-02 04:04:45,kerosene,Love's,gcccc,SLQR0ZPCCCQWN9BR9,75275621
18165,6.13,2.70,"43214 OH,  Columbus, 7241 Miller Road, ",2024-10-02 03:32:29,liquefied natural gas,Speedway,vaia,AQWOT26K23IUMJDWL,11168743
18170,25.38,2.06,"43214 OH,  Columbus, 7393 Kellogg Ave, ",2024-10-02 03:00:13,liquid natural gas,Marathon,ffeee,VRI963NRSZY71128Q,51171818
18174,27.653,2.75,"43211 OH,  Columbus, 4992 Lincoln Avenue, ",2024-10-02 03:56:29,biodiesel,Marathon,egfge,Y5JTGV4FK30M9OURN,21567182
18243,28.25,2.04,"43226 OH,  Columbus, 7568 Sunrise Str, ",2024-10-02 10:55:59,liquified natural gas,Flying J,22345,F1PBPVE15DTVCV8JI,83186841
18244,20.387,1.99,"43207 OH,  Columbus, 9059 Beech Court, ",2024-10-02 03:34:36,ethanol,WalMart,ddmgd,MJKXCFTZI9QB31VMD,17625115
18257,8.683,2.16,"43232 OH,  Columbus, 7343 Pretzel Str, ",2024-10-02 09:10:41,diesel,WalMart,dldde,728ZBLCOIKHPE4CFU,15186661
18262,40.291,3.21,"43272 OH,  Columbus, 4280 Pretzel St, ",2024-10-02 08:09:38,LNG,Sunoco,12011,DRJJTVZTEFKXXFIUO,81138417
18280,54.656,2.74,"43229 OH,  Columbus, 4686 Dutch Elm Court, ",2024-10-02 08:51:51,LNG,Marathon,egfeg,P0XU0EIIE79IIB0NF,71771152
18289,43.31,3.68,"43220 OH,  Columbus, 6263 Alabatross Ave, ",2024-10-02 12:34:56,kerosene,Sunoco,46801,U3MH1BTOHNZ7F5KCM,11151111
18316,2.9548,2.14,"43227 OH,  Columbus, 9260 8-Mile pkwy, ",2024-10-02 06:14:42,diesel,Love's,bbcdt,H9PIAXGFKEMQB1MY8,16111111
18318,33.397,3.83,"43224 OH,  Columbus, 6656 Elm Parkway, ",2024-10-02 03:17:04,diesel,Speedway,anyx,2RCW6LPAN0AY2574H,15584114
18335,49.394,1.94,"43236 OH,  Columbus, 2496 Kellogg pkwy, ",2024-10-02 03:00:06,propane,Bucky's,awwwy,AVJD7LOVOB511GQ9Z,81111411
18358,10.62,3.07,"43232 OH,  Columbus, 7343 Pretzel Str, ",2024-10-02 05:00:07,gas,WalMart,dldde,JVAE6ZC5RKBZWJLKO,82552173
18399,19.57802,3.18,"43265 OH,  Columbus, 3232 Sunrise pkwy, ",2024-10-02 11:33:44,diesel,Sunoco,12010,IOOMDLUW65ID1JOHS,56162788
18407,23.229,3.45,"43271 OH,  Columbus, 4322 Loreli Lane, ",2024-10-02 11:22:15,ethanol,Love's,cbccc,PG8P8BHZMR40EIN55,31127831
18420,15.26464,2.65,"43227 OH,  Columbus, 9462 Linderwood Ave, ",2024-10-02 08:57:32,LNG,Marathon,efeff,KG6633E1GYU63LO0P,64111181
18432,38.176,2.16,"43251 OH,  Columbus, 3548 Second pkwy, ",2024-10-02 07:14:52,liquid natural gas,Marathon,egggf,DMH2JGEOX6ASMNPHX,21542221
18433,21.555,2.57,"43236 OH,  Columbus, 2496 Kellogg pkwy, ",2024-10-02 12:47:08,kerosene,Bucky's,awwwy,K2Z6PUK36D628U4GD,12622121
18438,16.18,3.29,"43279 OH,  Columbus, 1629 Spring Grove St, ",2024-10-02 11:55:18,propane,Sunoco,62011,X9SKNNBA8CXZPC6JK,28128813
18452,34.063,2.49,"43211 OH,  Columbus, 4992 Lincoln Avenue, ",2024-10-02 11:11:43,liquefied natural gas,Marathon,egfge,B6RM4ZKZSRT35LUA8,14311311
18461,43.0,2.02,"43209 OH,  Columbus, 155 Brandonmere Road, ",2024-10-02 11:05:35,diesel,Bucky's,jwwwx,XME4D65NCDJFBJ3NY,17371855
18481,12.75,3.42,"43220 OH,  Columbus, 7821 WindingWay pkwy, ",2024-10-02 05:10:56,ethanol,Sunoco,18200,AAE7RIONV7R2TKK8P,38183426
18504,2.53,2.33,"43240 OH,  Columbus, 1687 Dutch Elm Parkwy, ",2024-10-02 08:43:36,liquefied natural gas,Love's,bcdch,IHHYIVBZ9MXQZTZN8,26813185
18514,24.57,3.66,"43268 OH,  Columbus, 2141 Wayfair Court, ",2024-10-02 05:31:47,ethanol,Sunoco,74510,W195C1AU3EELF7FY3,83781274
18520,21.2767,3.36,"43279 OH,  Columbus, 3399 10-Mile Parkwy, ",2024-10-02 05:41:56,LNG,Marathon,geggg,ZVLHLGWYCP62EA78C,11111451
18581,25.61,3.64,"43221 OH,  Columbus, 2130 Forest Creek St, ",2024-10-02 04:31:22,lng,Love's,hbcde,HI8E25VGIOX56GVXQ,11111172
18618,20.8743,3.02,"43226 OH,  Columbus, 7568 Sunrise Str, ",2024-10-02 11:34:47,ethanol,Flying J,22345,3BZ74V14D4F8HKLPZ,11161111
18635,51.12,2.54,"43232 OH,  Columbus, 334 10-Mile Ave, ",2024-10-02 09:51:28,liquid natural gas,Sunoco,47810,KPRFSLAA0ZK2CI0ZA,51111641
18648,37.37613,2.28,"43251 OH,  Columbus, 3548 Second pkwy, ",2024-10-02 03:42:45,propane,Marathon,egggf,YJB7MR5FAAWOIW5II,27117213
18662,10.92,3.63,"43220 OH,  Columbus, 6263 Alabatross Ave, ",2024-10-02 12:20:06,lng,Sunoco,46801,UDUKHSAUAQ4I0B41K,15325151
18666,48.81766,2.23,"43218 OH,  Columbus, 6899 Royal Oak pkwy, ",2024-10-02 05:19:52,methanol,Bucky's,awwyw,NEICO2HHJ2WPXU3FS,21357878
18672,6.2787,1.92,"43215 OH,  Columbus, 6175 Stonehill St, ",2024-10-02 04:10:27,liquified natural gas,Marathon,egfff,HDWEYQD263DT6GFNX,13848537
18674,18.6063,3.91,"43211 OH,  Columbus, 4992 Lincoln Avenue, ",2024-10-02 10:46:20,ethanol,Marathon,egfge,N98GN216TG8R5FQYI,41111117
18701,6.1419,3.59,"43218 OH,  Columbus, 8509 Beechmont Parkwy, ",2024-10-02 06:28:17,liquefied natural gas,Love's,bcdyc,ALL68R63RUWHPV83I,68261828
18717,32.6426,2.23,"43265 OH,  Columbus, 3232 Sunrise pkwy, ",2024-10-02 06:08:13,biodiesel,Sunoco,12010,B9SI84QE1K51NZUEK,21416221
18720,32.67233,2.97,"43240 OH,  Columbus, 2821 Kellogg Str, ",2024-10-02 04:21:12,liquefied natural gas,Bucky's,swwyx,FII17EWT3Q3AWOEFC,11131281
18727,33.1633,3.93,"43226 OH,  Columbus, 7568 Sunrise Str, ",2024-10-02 07:17:18,kerosene,Flying J,22345,NESA9LFK5CLPH914L,13111111
18729,27.5166,3.94,"43291 OH,  Columbus, 8605 Dutch Elm Str, ",2024-10-02 09:51:51,methanol,Sunoco,22001,FE4PJ35K1R88PW9UU,17314381
18734,29.96606,1.99,"43271 OH,  Columbus, 4322 Loreli Lane, ",2024-10-02 10:29:07,methanol,Love's,cbccc,HCLM3L1TOLDX6Y2KR,81111718
18739,12.3943,2.65,"43227 OH,  Columbus, 9462 Linderwood Ave, ",2024-10-02 09:42:48,liquified natural gas,Marathon,efeff,ZYT4XEJ37MHLQI9XP,21128111
18777,34.17,3.32,"43279 OH,  Columbus, 3399 10-Mile Parkwy, ",2024-10-02 05:42:12,kerosene,Marathon,geggg,U2QRYXNLXURSEH7G8,27143621
18790,8.238,3.02,"43234 OH,  Columbus, 4572 Forest Crest Lane, ",2024-10-02 08:15:00,liquid natural gas,Flying J,17348,6F2NXQSIWLR4554QS,52285214
18798,46.99,2.18,"43279 OH,  Columbus, 8636 Clifton Parkwy, ",2024-10-02 08:04:54,liquefied natural gas,Love's,bcdcp,VVDI0NV1A5558TNOI,12114176
18828,5.87,4.03,"43227 OH,  Columbus, 9462 Linderwood Ave, ",2024-10-02 08:12:36,liquefied natural gas,Marathon,efeff,N4G1FGX7Y171HF4Y2,12131511
18870,50.21832,2.02,"43202 OH,  Columbus, 1632 Forest Crest Lane, ",2024-10-02 06:05:44,propane,Love's,gcccc,XZUY40Q726S1KKRSX,65364155
18902,24.31,3.68,"43265 OH,  Columbus, 3232 Sunrise pkwy, ",2024-10-02 04:43:03,liquified natural gas,Sunoco,12010,Q3BTFV4O7BY3Y3OY2,71115111
18908,29.6861,2.88,"43279 OH,  Columbus, 3399 10-Mile Parkwy, ",2024-10-02 06:35:53,liquid natural gas,Marathon,geggg,7UEMTBN49N83SSMB7,11151111
18927,39.85,3.17,"43202 OH,  Columbus, 972 Alabatross Court, ",2024-10-02 11:57:26,kerosene,Bucky's,bwwww,UFCARQMZQNZRSQNK0,37211715
18945,27.84479,2.27,"43215 OH,  Columbus, 6072 Second pkwy, ",2024-10-02 10:44:14,lng,Speedway,mbma,GMDF61SPIPFQWYXG6,82341453
18957,28.7935,3.38,"43218 OH,  Columbus, 8509 Beechmont Parkwy, ",2024-10-02 07:11:37,lng,Love's,bcdyc,QRYOH2KR21P9A8OCZ,63763271
18972,37.8,2.61,"43215 OH,  Columbus, 4250 SR 125 Parkwy, ",2024-10-02 06:23:20,liquid natural gas,WalMart,edhmd,NX4006D9WATFB60DS,12141111
18981,41.766,2.69,"43203 OH,  Columbus, 6939 Spring Grove Court, ",2024-10-02 06:56:43,liquefied natural gas,Sunoco,12600,KPRFSLAA0ZK2CI0ZA,51111641
19027,30.919,3.26,"43240 OH,  Columbus, 1687 Dutch Elm Parkwy, ",2024-10-02 04:32:26,LNG,Love's,bcdch,5KA9HS2JM3NW0SB37,31112111
19028,25.07309,2.34,"43291 OH,  Columbus, 6335 Summit Parkway, ",2024-10-02 11:05:26,kerosene,Marathon,eegfe,V71CLGPEG00T0BIEK,11141183
19039,20.231,2.25,"43215 OH,  Columbus, 4250 SR 125 Parkwy, ",2024-10-02 06:52:23,liquid natural gas,WalMart,edhmd,0F009TCP0PYQ0AVXU,11111121
19073,11.4,2.02,"43291 OH,  Columbus, 8605 Dutch Elm Str, ",2024-10-02 05:30:07,liquified natural gas,Sunoco,22001,869EB8UU72JNV56SX,48142222
19086,21.61404,3.06,"43268 OH,  Columbus, 2141 Wayfair Court, ",2024-10-02 06:26:28,liquefied natural gas,Sunoco,74510,ULOUH0N9OK1R65FCD,11111112
19117,18.228,3.43,"43240 OH,  Columbus, 1860 SR 222 Street, ",2024-10-02 05:07:22,LNG,Speedway,aaji,VQYNWHBKFTDFJ8PMF,11642613
19136,49.8,3.34,"43279 OH,  Columbus, 1629 Spring Grove St, ",2024-10-02 10:03:19,lng,Sunoco,62011,4F3TNEITNTUNWP6EE,46621321
19137,24.971,3.85,"43209 OH,  Columbus, 1998 Royal Oak Lane, ",2024-10-02 08:15:48,liquid natural gas,Sunoco,42010,DRJJTVZTEFKXXFIUO,81138417
19151,52.55,4.00,"43251 OH,  Columbus, 2038 10-Mile Court, ",2024-10-02 06:24:57,propane,Bucky's,axwww,TIV3D09AJ1MPEXQLM,11111121
19159,17.457,2.80,"43240 OH,  Columbus, 2821 Kellogg Str, ",2024-10-02 03:19:33,LNG,Bucky's,swwyx,4RRU4VJFOWMF4UWVK,11772172
19169,18.606,3.80,"43221 OH,  Columbus, 2130 Forest Creek St, ",2024-10-02 10:16:48,methanol,Love's,hbcde,90EC7V4MW6Y4SNM0R,33111115
19192,7.66964,3.39,"43203 OH,  Columbus, 6939 Spring Grove Court, ",2024-10-02 07:48:37,biodiesel,Sunoco,12600,6Z8BC9UJRYDJF52SE,48213111
19208,14.3,3.96,"43226 OH,  Columbus, 7568 Sunrise Str, ",2024-10-02 03:16:02,lng,Flying J,22345,WKUIXJD376KEZUGEL,11118111
19237,20.35,2.08,"43205 OH,  Columbus, 3603 Forest Creek pkwy, ",2024-10-02 12:02:53,diesel,Bucky's,bwxww,LEKS8VW832BA1KPQU,65725111
19240,24.081,3.09,"43229 OH,  Columbus, 4686 Dutch Elm Court, ",2024-10-02 09:01:56,liquid natural gas,Marathon,egfeg,AYZGEL0ICODYXE1U5,28122617
19243,22.677,2.11,"43227 OH,  Columbus, 9260 8-Mile pkwy, ",2024-10-02 09:19:06,liquified natural gas,Love's,bbcdt,4O5KP81EWXK7UR3U4,12544135
19249,19.95,2.99,"43207 OH,  Columbus, 9059 Beech Court, ",2024-10-02 04:39:12,lng,WalMart,ddmgd,B9SI84QE1K51NZUEK,21416221
19302,7.34512,2.85,"43218 OH,  Columbus, 6899 Royal Oak pkwy, ",2024-10-02 07:10:47,ethanol,Bucky's,awwyw,29JPM2JDRUEZ5Z2AZ,11111731
19313,37.012,2.23,"43279 OH,  Columbus, 8636 Clifton Parkwy, ",2024-10-02 08:40:10,kerosene,Love's,bcdcp,EWL484MAS91LUEULH,15374111
19360,42.51,3.61,"43291 OH,  Columbus, 6335 Summit Parkway, ",2024-10-02 06:14:09,gas,Marathon,eegfe,T0VXKOG4BNOXPADTL,17261171
19416,41.3331,3.06,"43268 OH,  Columbus, 2141 Wayfair Court, ",2024-10-02 05:39:04,ethanol,Sunoco,74510,VVDI0NV1A5558TNOI,12114176
19417,26.71249,3.25,"43212 OH,  Columbus, 2878 Daylight Road, ",2024-10-02 04:56:32,propane,Bucky's,awwyw,YZXVER5YKXP6D00TG,11511133
19428,4.778,2.56,"43279 OH,  Columbus, 5478 Royal Oak Road, ",2024-10-02 04:11:31,liquified natural gas,WalMart,dddlg,X2KJ2OG6Z9NCIFV9X,45114287
19435,17.576,3.22,"43201 OH,  Columbus, 233 Clifton Lane, ",2024-10-02 06:17:10,ethanol,Love's,bbccp,HVCPZUW906ECCTHU7,16781751
19448,6.69976,3.89,"43268 OH,  Columbus, 2141 Wayfair Court, ",2024-10-02 12:57:28,LNG,Sunoco,74510,M1NQTSNQZ6YPOG8EJ,11751111
19469,41.6434,2.05,"43234 OH,  Columbus, 4572 Forest Crest Lane, ",2024-10-02 06:43:43,LNG,Flying J,17348,IRVJ9RHNXYR7ATUC3,11111851
19489,25.78,4.03,"43251 OH,  Columbus, 9192 Beech Court, ",2024-10-02 03:43:49,gas,Love's,ebcjc,GAA008DRG5I8JA40K,84111111
19533,29.43,2.35,"43202 OH,  Columbus, 1632 Forest Crest Lane, ",2024-10-02 03:05:34,liquid natural gas,Love's,gcccc,PSR0NOLSYW07SEVS0,86431182
19622,17.7698,2.18,"43227 OH,  Columbus, 9462 Linderwood Ave, ",2024-10-02 03:43:36,liquid natural gas,Marathon,efeff,PH8QQQYE1PULV4Q44,13132161
19623,39.47324,3.83,"43224 OH,  Columbus, 6656 Elm Parkway, ",2024-10-02 08:47:21,biodiesel,Speedway,anyx,P44CB5DSVXS9T03QG,18117145
19677,8.491,2.85,"43226 OH,  Columbus, 7568 Sunrise Str, ",2024-10-02 11:38:42,diesel,Flying J,22345,3TPHZYA7H1HFVXY1F,41117111
19693,53.7548,3.03,"43227 OH,  Columbus, 9260 8-Mile pkwy, ",2024-10-02 08:25:48,kerosene,Love's,bbcdt,SW3G8FX9DYFSHMZXC,71118211
19707,39.07,3.24,"43218 OH,  Columbus, 6899 Royal Oak pkwy, ",2024-10-02 07:41:37,gas,Bucky's,awwyw,SL3KBSN69G503ZIK2,11711111
19722,46.42214,3.78,"43218 OH,  Columbus, 8509 Beechmont Parkwy, ",2024-10-02 03:26:51,gas,Love's,bcdyc,YEH916BHBO1AERA9E,53126177
19729,51.99408,4.00,"43235 OH,  Columbus, 2208 Wayfair Parkway, ",2024-10-02 06:15:52,propane,Speedway,laea,YNU295WLD4AIBQK1K,71132247
19742,28.6,2.38,"43215 OH,  Columbus, 6175 Stonehill St, ",2024-10-02 07:12:29,gas,Marathon,egfff,MJKXCFTZI9QB31VMD,17625115
19759,40.5,1.95,"43240 OH,  Columbus, 1860 SR 222 Street, ",2024-10-02 08:02:39,liquefied natural gas,Speedway,aaji,1ZLF2KG5SKIIBTF03,53515116
19822,16.26,3.09,"43209 OH,  Columbus, 3397 10-Mile Avenue, ",2024-10-02 12:59:55,gas,Marathon,efgee,A8OT6FLSLZ1S4RJ0T,71631111
19850,20.829,2.34,"43271 OH,  Columbus, 4322 Loreli Lane, ",2024-10-02 05:20:05,lng,Love's,cbccc,OIWL2YKXJCKFOHG13,17512315
19857,26.08589,2.11,"43227 OH,  Columbus, 9462 Linderwood Ave, ",2024-10-02 09:49:57,diesel,Marathon,efeff,W195C1AU3EELF7FY3,83781274
19883,36.33,2.52,"43271 OH,  Columbus, 4322 Loreli Lane, ",2024-10-02 06:07:28,liquified natural gas,Love's,cbccc,EX1SGUPNC2BY005DZ,61121111
19896,49.259,3.98,"43226 OH,  Columbus, 398 Cougar Avenue, ",2024-10-02 09:54:59,lng,Bucky's,wywxx,Z2KDJCCVPZ0IEXM08,61222114
19907,2.8498,2.90,"43272 OH,  Columbus, 3166 8-Mile Str, ",2024-10-02 04:38:45,biodiesel,Speedway,oafa,ADIPNGNIZ6M4Q0BKE,11111168
19919,21.5101,3.32,"43279 OH,  Columbus, 5478 Royal Oak Road, ",2024-10-02 03:14:16,liquid natural gas,WalMart,dddlg,T8CL7OVREV8LDODQO,72131665
